TASK	FREQUENCY	CMD	CODE
Enable MPU6050	0	tc;mpu;1	 "subprocess.call(['python','enable_mpu.py'])"
Enable GPS	0	tc;gps;1	 "subprocess.call(['python','enable_gps.py'])"
Enable BMP	0	tc;bmp;1	 "subprocess.call(['python','enable_bmp.py'])"
Enable MCP	0	tc;mcp;1	 "subprocess.call(['python','enable_mcp.py'])"
Disable MPU6050	0	tc;mpu;0	 "subprocess.call(['python','disable_mpu.py'])"
Disable GPS	0	tc;gps;0	 "subprocess.call(['python','disable_gps.py'])"
Disable BMP	0	tc;gps;0	 "subprocess.call(['python','disable_bmp.py'])"
Disable MCP	0	tc;mcp;0	 "subprocess.call(['python','disable_mcp.py'])"
get acc,gyro MPU	0.1	tm;mpu;2	 "subprocess.call(['python','tm_mpu.py'])"
get lat,lon GPS	5	tm;gps;2	 "subprocess.call(['python','tm_gps.py'])"
get pressure BMP	1	tm;bmp;2	 "subprocess.call(['python','tm_bmp.py'])"
get temp MCP	1	tm;mcp;2	 "subprocess.call(['python','tm_mcp.py'])"
